n,w,time,res
88,9,840750,53
89,9,937292,53
90,9,886109,53
91,9,886514,53
92,9,879840,53
93,9,967090,53
94,9,891347,53
95,9,974580,53
96,9,944741,53
97,9,1112233,53
98,9,1177507,53
99,9,961103,53
0,10,59,0
1,10,65,2
2,10,96,7
3,10,108,7
4,10,143,14
5,10,216,19
6,10,234,19
7,10,296,19
8,10,361,25
9,10,383,25
10,10,466,25
11,10,649,25
12,10,729,25
13,10,836,25
14,10,1089,32
15,10,1219,32
16,10,1183,32
17,10,1311,32
18,10,1440,32
19,10,1633,32
20,10,1627,32
21,10,3071,36
22,10,2702,36
23,10,3301,36
24,10,3191,36
25,10,4850,37
26,10,4308,37
27,10,5036,37
28,10,5710,37
29,10,6404,37
30,10,6670,37
31,10,6333,37
32,10,6747,37
33,10,6746,37
34,10,7596,37
35,10,7847,37
36,10,7870,37
37,10,9411,42
38,10,10203,42
39,10,9862,42
40,10,10917,42
41,10,11110,42
42,10,13903,47
43,10,14411,47
44,10,14248,47
45,10,14604,47
46,10,16617,47
47,10,20063,47
48,10,26852,47
49,10,22433,47
50,10,26071,47
51,10,27079,47
52,10,40015,47
53,10,40699,47
54,10,46680,47
55,10,50391,47
56,10,50742,47
57,10,53159,47
58,10,53284,47
59,10,63356,47
60,10,65943,47
61,10,69722,47
62,10,93060,48
63,10,142207,53
64,10,143774,53
65,10,204767,53
66,10,173961,53
67,10,191475,53
68,10,212009,53
69,10,209126,53
70,10,223407,53
71,10,218529,53
72,10,217097,53
73,10,226275,53
74,10,266988,53
75,10,320708,53
76,10,307013,53
77,10,466264,53
78,10,391822,53
79,10,472890,54
80,10,477809,54
81,10,531027,54
82,10,547067,54
83,10,693002,60
84,10,769940,60
85,10,700809,60
86,10,856938,62
87,10,1038163,62
88,10,1422704,63
89,10,1433813,63
90,10,1428825,63
91,10,1521675,63
92,10,1557102,63
93,10,1584917,63
94,10,1500954,63
95,10,1702805,63
96,10,1661614,63
97,10,1659653,63
98,10,2106098,63
99,10,1710626,63
0,11,86,0
1,11,89,2
2,11,127,8
3,11,151,8
4,11,203,16
5,11,314,21
6,11,340,21
7,11,429,21
8,11,514,27
9,11,520,27
10,11,560,27
11,11,916,27
12,11,1034,27
13,11,1635,27
14,11,1528,33
15,11,1905,33
16,11,1947,33
17,11,2177,33
18,11,1869,33
19,11,1856,33
20,11,1758,33
21,11,2917,36
22,11,3828,36
23,11,3376,36
24,11,4093,36
25,11,5033,40
26,11,4552,40
27,11,6085,40
28,11,6552,40
29,11,7194,40
30,11,6908,40
31,11,7213,40
32,11,7652,40
33,11,7944,40
34,11,9282,40
35,11,9028,40
36,11,9399,40
37,11,10894,44
38,11,23672,44
39,11,11012,44
40,11,11625,44
41,11,11342,44
42,11,15417,46
43,11,15968,46
44,11,17023,46
45,11,15983,46
46,11,20428,46
47,11,23428,46
