n,w,time,res
77,10,6606,53
78,10,7408,53
79,10,7750,54
80,10,7318,54
81,10,8162,54
82,10,8109,54
83,10,8633,60
84,10,8276,60
85,10,8539,60
86,10,8704,62
87,10,8412,62
88,10,8551,63
89,10,9164,63
90,10,9278,63
91,10,8994,63
92,10,9091,63
93,10,9559,63
94,10,9257,63
95,10,10043,63
96,10,10385,63
97,10,8934,63
98,10,9034,63
99,10,9115,63
0,11,79,0
1,11,194,2
2,11,694,8
3,11,342,8
4,11,751,16
5,11,538,21
6,11,630,21
7,11,711,21
8,11,819,27
9,11,904,27
10,11,992,27
11,11,1087,27
12,11,1175,27
13,11,1252,27
14,11,1356,33
15,11,1456,33
16,11,1521,33
17,11,1621,33
18,11,1704,33
19,11,1787,33
20,11,1858,33
21,11,1961,36
22,11,2055,36
23,11,2128,36
24,11,2607,36
25,11,2275,40
26,11,2343,40
27,11,2443,40
28,11,2538,40
29,11,2627,40
30,11,2678,40
31,11,2755,40
32,11,2846,40
33,11,2914,40
34,11,3008,40
35,11,3087,40
36,11,3193,40
37,11,3274,44
38,11,3368,44
39,11,3423,44
40,11,3506,44
41,11,3581,44
42,11,3699,46
43,11,3791,46
44,11,4637,46
45,11,4636,46
46,11,4818,46
47,11,6212,46
48,11,5265,46
49,11,4366,46
50,11,5352,46
51,11,4932,46
52,11,4666,46
53,11,4757,50
54,11,4838,50
55,11,4934,50
56,11,5423,50
57,11,5075,50
58,11,5157,50
59,11,5268,50
60,11,5358,50
61,11,5458,50
62,11,5866,53
63,11,5798,56
64,11,5870,56
65,11,5976,56
66,11,6558,56
67,11,6045,58
68,11,6128,58
69,11,6777,58
70,11,6300,58
71,11,6400,58
72,11,6775,58
73,11,6555,58
74,11,6659,58
75,11,6757,58
76,11,7129,58
77,11,6957,58
78,11,7104,58
79,11,7181,59
80,11,7506,59
81,11,7710,59
82,11,7232,59
83,11,7335,64
84,11,7866,64
85,11,7493,64
86,11,7596,66
87,11,8309,66
88,11,8077,68
89,11,7897,68
90,11,7966,68
91,11,8070,68
92,11,8432,68
93,11,9048,68
94,11,8566,68
95,11,8676,68
96,11,9104,68
97,11,9052,68
98,11,8675,68
99,11,9023,68
0,12,71,0
1,12,182,2
2,12,261,8
3,12,347,8
4,12,458,17
