n,w,time,res
34,23,13949,109
35,23,14243,109
36,23,14588,109
37,23,14832,109
38,23,15853,109
39,23,16134,120
40,23,17531,120
41,23,16559,120
42,23,16818,120
43,23,17455,126
44,23,17792,126
45,23,18038,126
46,23,18335,126
47,23,18697,126
48,23,22974,126
49,23,23546,126
0,24,223,0
1,24,678,2
2,24,1306,19
3,24,2033,36
4,24,2748,37
5,24,3319,45
6,24,3845,45
7,24,4586,46
8,24,4941,46
9,24,5425,46
10,24,6255,50
11,24,6488,50
12,24,6845,50
13,24,7529,70
14,24,7796,70
15,24,8560,80
16,24,9817,80
17,24,9570,80
18,24,10290,80
19,24,10549,80
20,24,11318,92
21,24,11916,92
22,24,12622,92
23,24,13297,92
24,24,13802,92
25,24,17173,92
26,24,18588,92
27,24,16049,102
28,24,16552,106
29,24,16888,106
30,24,19036,106
31,24,22518,106
32,24,25171,106
33,24,20254,106
34,24,16431,106
35,24,17203,120
36,24,19707,128
37,24,21169,146
38,24,19091,146
39,24,19161,146
40,24,19460,146
41,24,20027,146
42,24,20645,163
43,24,21114,163
44,24,21451,163
45,24,21851,163
46,24,22067,163
47,24,26119,163
48,24,22802,163
49,24,23024,163
0,25,188,0
1,25,593,2
2,25,1138,19
3,25,1772,36
4,25,2021,36
5,25,2653,49
6,25,3143,62
7,25,3695,62
8,25,4194,67
9,25,4623,67
10,25,5222,68
11,25,5804,90
12,25,6027,90
13,25,6377,90
14,25,7011,93
15,25,7236,93
16,25,7986,105
17,25,8628,105
18,25,10099,105
19,25,9362,105
20,25,9753,105
21,25,10449,108
22,25,10953,108
23,25,11701,111
24,25,12291,111
25,25,12728,111
26,25,13268,111
27,25,13640,111
28,25,14307,120
29,25,14983,120
30,25,15411,120
31,25,15763,120
32,25,16215,120
33,25,16877,126
34,25,19857,126
35,25,22451,126
36,25,22655,137
37,25,23675,146
38,25,24345,163
39,25,23959,163
40,25,24375,163
41,25,25226,170
42,25,26500,170
43,25,26525,170
44,25,26732,170
45,25,27353,170
46,25,32952,170
47,25,30281,170
48,25,28639,170
49,25,38297,170
0,26,248,0
1,26,1111,2
2,26,2323,19
3,26,3816,36
4,26,3317,36
5,26,4616,49
6,26,6468,62
7,26,5742,62
8,26,5775,67
9,26,7422,67
10,26,9716,68
11,26,9800,90
12,26,7647,90
13,26,8102,90
14,26,8378,90
15,26,12359,90
16,26,14600,90
17,26,12433,90
18,26,10496,112
19,26,10853,112
20,26,16509,112
21,26,17507,112
22,26,19851,112
23,26,16005,112
24,26,19055,112
25,26,19742,112
26,26,24249,112
27,26,16867,112
28,26,19873,112
29,26,21648,112
30,26,25716,112
31,26,26689,124
32,26,24701,124
33,26,26875,124
34,26,26489,124
35,26,28490,124
36,26,27127,124
37,26,32370,124
38,26,33726,124
39,26,35344,124
40,26,33639,124
41,26,34283,124
42,26,44050,142
43,26,33384,142
44,26,28802,142
45,26,29062,142
46,26,27140,142
47,26,25788,142
48,26,26297,142
49,26,26693,142
0,27,229,0
1,27,768,2
2,27,1503,19
3,27,2315,36
4,27,2687,36
5,27,3507,51
6,27,5290,62
7,27,6778,62
8,27,9013,67
9,27,9853,67
10,27,10796,68
11,27,12511,90
12,27,12854,90
13,27,14378,90
14,27,14640,90
15,27,15367,95
16,27,14275,95
17,27,16196,95
18,27,14584,95
19,27,12185,115
20,27,11017,115
21,27,11475,115
22,27,12123,115
23,27,12599,115
24,27,12967,115
25,27,14888,115
26,27,15285,115
27,27,15864,115
28,27,16659,119
29,27,17272,119
30,27,18092,131
31,27,19175,141
32,27,21609,141
33,27,25204,141
34,27,22016,141
35,27,21631,141
36,27,27418,141
37,27,22777,141
38,27,23609,153
39,27,24421,167
40,27,25267,185
41,27,27179,185
42,27,26169,185
43,27,31582,185
44,27,26385,185
45,27,23420,185
46,27,24125,201
47,27,24459,201
48,27,25222,206
49,27,25581,206
0,28,195,0
1,28,673,2
2,28,1289,19
3,28,2002,36
4,28,2334,36
5,28,3049,51
6,28,3619,62
7,28,4232,62
8,28,4837,67
9,28,5332,67
10,28,6085,68
11,28,6687,90
12,28,6982,90
13,28,7278,90
14,28,7684,90
15,28,8360,95
16,28,8739,95
17,28,8988,95
18,28,9507,95
19,28,10234,117
20,28,10594,117
21,28,11032,117
22,28,12984,117
23,28,12927,117
24,28,12723,127
25,28,13100,127
26,28,13710,127
27,28,14004,127
28,28,14520,127
29,28,15245,127
30,28,15754,127
31,28,18090,153
32,28,17383,153
33,28,17801,153
34,28,18092,161
35,28,18557,161
36,28,18818,161
37,28,19730,166
38,28,20201,166
39,28,20677,166
40,28,21397,177
41,28,22167,184
42,28,22856,210
43,28,27414,210
44,28,28512,210
45,28,29058,210
46,28,29553,210
47,28,30682,210
48,28,30799,210
49,28,31392,210
0,29,234,0
1,29,840,2
2,29,1612,31
3,29,2269,32
4,29,2826,54
5,29,3707,57
6,29,4369,57
7,29,5128,57
8,29,6045,66
9,29,8371,66
10,29,8970,66
11,29,10264,67
12,29,10212,67
13,29,9144,67
14,29,9652,67
15,29,10042,67
16,29,10488,67
17,29,10984,67
18,29,14273,71
19,29,15969,71
20,29,16514,71
21,29,17631,75
22,29,15482,75
23,29,12797,88
24,29,13086,88
25,29,13733,102
26,29,16627,102
27,29,14766,102
28,29,15213,102
29,29,15735,102
30,29,17070,106
31,29,16960,106
32,29,17096,106
33,29,17198,106
34,29,17993,110
35,29,18276,110
36,29,19085,117
37,29,19589,117
38,29,19817,117
39,29,23287,117
40,29,21332,117
41,29,21819,117
42,29,22613,131
43,29,23461,141
44,29,24082,162
45,29,24456,162
46,29,24865,162
47,29,25601,162
48,29,25979,162
49,29,26297,162
0,30,199,0
1,30,726,2
2,30,1396,31
3,30,1954,32
4,30,2452,54
5,30,3220,57
6,30,3794,57
7,30,4465,57
